Customer Query,Order Code,Description
MCB  C63A  4P  10KA,2CDS274001R0634,S204M-C63 4Pole 63A C-curve MCB Icn 10kA Icu 15kA 
MCB  C63A  2P  10KA,2CDS272001R0634,S202M-C63
MCB  C10A  1P  10KA,2CDS271001R0104,S201M-C10
MCB  C20A  1P  10KA,2CDS271001R0204,S201M-C20
MCB  C40A  2P  10KA,2CDS272001R0404,"S202M-C40 2 Pole MCB, Type C, 40A, 10KA"
MCB.ACC AUX CONTACT 1NO / 1NC (63A AND BELOW),2CDS200912R0001,S2C-H6R On/Off Auxilliary Contact
MCB.ACC SHUNT TRIP (63A AND BELOW),2CDS200909R0002,S2C-A2 Shunt Trip110VAC?415VAC. 110VDC?250VDC
RCCB  63A  4P  30MA,2CSF204005R1630,"F204 AC-63/0,0363A 4pole RCCB 30mA sensitivity"
RCCB  63A  4P  100MA,2CSF204005R2630,"F204 AC-63/0,1 63A 4pole RCCB 100mA sensitivity"
RCCB  40A  4P  30MA,2CSF204005R1400,"F204 AC-40/0,03 "
RCCB  40A  4P  100MA,2CSF204005R2400,"F204 AC-40/0,1 40A 4pole RCCB 100mA sensitivity"
RCCB  63A  2P  30MA,2CSF202005R1630,"F202 AC-63/0,03 "
RCCB  40A  2P  30MA,2CSF202005R1400,"F202 AC-40/0,03 "
RCCB  40A  2P  100MA,2CSF202005R2400,"F202 AC-40/0,1"
RCCB  100A  2P  30MA,2CSF202005R1900,"F202 AC-100/0,03"
ISOLATOR 2P 63A,2CDD272111R0063,SHD202/63 Switch Disconnector
ISOLATOR 2P 32A,2CDD272111R0032,SHD202/32 Switch Disconnector
ISOLATOR 1P 32A,2CDD271111R0032,SHD201/32 Switch Disconnector
ISOLATOR 2P  80A  ,2CDE282001R1080,E202/80G DinRail 2Pole Isolator 80A Grey Toggle
ISOLATOR 4P 63A ,2CDD274111R0063,SHD204/63 Switch Disconnector
ISOLATOR 4P 125A ,2CDE284001R1125,E204/125G DinRail 4Pole Isolator 125A Grey Toggle
"CONTACTOR MINI TYPE CONTACTOR 3P, 20A",GJL1211001R8100,B6-30-10-80 Mini Contactor
"CONTACTOR (AC-1) 3P 415V 45A, 11 kW",1SBL237001R1300,Contactor AF26-30-00-13 100-250V AC/DC
"CONTACTOR (AC-1) 3P 415V 30A, 7.5 kW",1SBL177001R1301,Contactor AF16-30-01-13 100-250V AC/DC
SURGE ARRESTER T1+2 3+N  80KA,2CTB815710R1900,OVR T1-T2 3N 12.5-275s PQSType1+2 OVR Iimp 12.5kA TT 230/400VAC 3Ph+N networks
SURGE ARRESTER T2 3+N 40KA,2CTB803973R1100,OVR T2 3N 40-275 P QS Type 2 T2 OVR Imax 40kA TT 230/400VAC 3Ph+N networks
SURGE ARRESTER T2 1+N 40KA,2CTB803982R1100,OVR T2 1N 40-350 P QS Imax 40kA SinglePhase 1Live1Neutral 1PE connection
"key lock, 1 lock, 1 key ",1SDA073802R1,PLC E1.2-XT7M Padlocks open pos. D=8mm
ACB SHUNT TRIP 630~3200A,1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC 
ACB SHUNT TRIP ,1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC 
ACB 6300A 4P 85KA Drawer Type,1SDA073361R1,E6.2H/f 6300 Ekip Dip LI 4p WMP 
ACB 5000A 4P 80KA Drawer Type,1SDA073331R1,E6.2H/f 5000 Ekip Dip LI 4p WMP 
ACB 4000A 4P 65KA Drawer Type,1SDA073173R1,E4.2N 4000 Ekip Dip LSIG 4p WMP 
ACB 3200A 4P 80KA Drawer Type,1SDA073123R1,E4.2N 3200 Ekip Dip LSIG 4p WMP 
ACB 3200A 4P 75KA Drawer Type,1SDA073123R1,E4.2N 3200 Ekip Dip LSIG 4p WMP 
ACB 3200A 4P 65KA Drawer Type,1SDA073123R1,E4.2N 3200 Ekip Dip LSIG 4p WMP 
ACB 2000A 4P 80KA Drawer Type,1SDA073013R1,E2.2N 2000 Ekip Dip LSIG 4p WMP 
ACB 2000A 4P 65KA Drawer Type,1SDA073013R1,E2.2N 2000 Ekip Dip LSIG 4p WMP 
ACB 1600A 4P 85KA Drawer Type,1SDA072973R1,E2.2N 1600 Ekip Dip LSIG 4p WMP 
ACB 1600A 4P 80KA Drawer Type,1SDA072973R1,E2.2N 1600 Ekip Dip LSIG 4p WMP 
ACB 1600A 4P 75KA Drawer Type,1SDA072973R1,E2.2N 1600 Ekip Dip LSIG 4p WMP 
ACB 1600A 4P 50KA Drawer Type,1SDA072973R1,E2.2N 1600 Ekip Dip LSIG 4p WMP 
ACB 1600A 4P 100KA Drawer Type,1SDA072973R1,E2.2N 1600 Ekip Dip LSIG 4p WMP 
ACB 1000A 4P 80KA Drawer Type,1SDA072903R1,E2.2N 1000 Ekip Dip LSIG 4p WMP 
ACB 1000A 4P 75KA Manual Type,1SDA072903R1,E2.2N 1000 Ekip Dip LSIG 4p WMP 
ACB 1000A 4P 65KA Drawer Type,1SDA072903R1,E2.2N 1000 Ekip Dip LSIG 4p WMP 
ACB 1000A 4P 50KA Drawer Type,1SDA072901R1,E2.2N 1000 Ekip Dip LI 4p WMP 
"2500-7500 key lock, 1 lock, 1 key ",1SDA073802R1,PLC E1.2-XT7M Padlocks open pos. D=8mm
MTS 4P 80A,1SCA105418R1001,OT80F4C
MTS 4P 63A,1SCA105369R1001,OT63F4C
MTS 4P 400A,1SCA022771R8680,OT400E04CP
MTS 4P 32A,1SCA105369R1001,OT63F4C
MTS 4P 250A,1SCA022775R4640,OT250E04CP
MTS 4P 160A,1SCA022775R9440,OT160E04CP
ATS 4P 3200A  ,1SCA129158R1001,OT3200E04CP
2000A 4P AUTO CHANGEOVER CONTACTOR (ATS),1SCA103912R1001,OT2000E04CP
1600A 4P AUTO CHANGEOVER CONTACTOR (ATS),1SCA153622R1001,OXB1600E3S2QB
1000A 4P AUTO CHANGEOVER CONTACTOR (ATS),1SCA153577R1001,OXB1000E3S2QB
MCCB  85KA 3P 63A,1SDA067450R1,XT1H 160 TMD 63-630 3p F F
MCCB  85KA 3P 630A,1SDA100487R1,XT5H 630 TMA 630-6300 3p F F
MCCB  85KA 3P 400A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  85KA 3P 350A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  85KA 3P 250A,1SDA068345R1,XT4H 250 TMA 250-2500 3p F F
MCCB  85KA 3P 200A,1SDA068343R1,XT4H 250 TMA 200-2000 3p F F
MCCB  85KA 3P 160A,1SDA067454R1,XT1H 160 TMD 160-1600 3p F F
MCCB  85KA 3P 125A,1SDA067453R1,XT1H 160 TMD 125-1250 3p F F
MCCB  85KA 3P 100A,1SDA067452R1,XT1H 160 TMD 100-1000 3p F F
MCCB  80KA 3P 800A,1SDA100762R1,XT6H 800 TMA 800-8000 3p F F
MCCB  80KA 3P 630A,1SDA100487R1,XT5H 630 TMA 630-6300 3p F F
MCCB  80KA 3P 400A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  80KA 3P 350A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  80KA 3P 250A,1SDA068345R1,XT4H 250 TMA 250-2500 3p F F
MCCB  80KA 3P 200A,1SDA068343R1,XT4H 250 TMA 200-2000 3p F F
MCCB  80KA 3P 100A,1SDA067452R1,XT1H 160 TMD 100-1000 3p F F
MCCB  70KA 3P 800A,1SDA100762R1,XT6H 800 TMA 800-8000 3p F F
MCCB  70KA 3P 630A,1SDA100487R1,XT5H 630 TMA 630-6300 3p F F
MCCB  70KA 3P 400A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  70KA 3P 350A,1SDA100484R1,XT5H 400 TMA 320-3200 3p F F
MCCB  70KA 3P 250A,1SDA068345R1,XT4H 250 TMA 250-2500 3p F F
MCCB  70KA 3P 200A,1SDA068343R1,XT4H 250 TMA 200-2000 3p F F
MCCB  70KA 3P 160A,1SDA067454R1,XT1H 160 TMD 160-1600 3p F F
MCCB  70KA 3P 100A,1SDA067452R1,XT1H 160 TMD 100-1000 3p F F
MCCB  65KA 3P 800A,1SDA100762R1,XT6H 800 TMA 800-8000 3p F F
MCCB  65KA 3P 63A,1SDA067450R1,XT1H 160 TMD 63-630 3p F F
MCCB  65KA 3P 630A,1SDA100487R1,XT5H 630 TMA 630-6300 3p F F
MCCB  65KA 3P 40A,1SDA080839R1,XT1H 160 TMD 40-450 3p F F
MCCB  65KA 3P 400A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  65KA 3P 350A,1SDA100485R1,XT5H 400 TMA 400-4000 3p F F
MCCB  65KA 3P 250A,1SDA068345R1,XT4H 250 TMA 250-2500 3p F F
MCCB  65KA 3P 200A,1SDA068343R1,XT4H 250 TMA 200-2000 3p F F
MCCB  65KA 3P 160A,1SDA067454R1,XT1H 160 TMD 160-1600 3p F F
MCCB  65KA 3P 125A,1SDA067453R1,XT1H 160 TMD 125-1250 3p F F
MCCB  65KA 3P 100A,1SDA067452R1,XT1H 160 TMD 100-1000 3p F F
MCCB  50KA 4P 630A,1SDA100459R1,XT5S 630 TMA 630-6300 4p F F InN=100%In 
MCCB  50KA 3P 80A,1SDA067433R1,XT1S 160 TMD 80-800 3p F F
MCCB  50KA 3P 63A,1SDA067432R1,XT1S 160 TMD 63-630 3p F F
MCCB  50KA 3P 630A,1SDA100417R1,XT5S 630 TMA 630-6300 3p F F
MCCB  50KA 3P 400A,1SDA100455R1,XT5S 400 TMA 400-4000 4p F F InN=100%In 
MCCB  50KA 3P 250A,1SDA068221R1,XT3S 250 TMD 250-2500 3p F F
MCCB  50KA 3P 200A,1SDA068220R1,XT3S 250 TMD 200-2000 3p F F
MCCB  50KA 3P 160A,1SDA067436R1,XT1S 160 TMD 160-1600 3p F F
MCCB  50KA 3P 125A,1SDA067435R1,XT1S 160 TMD 125-1250 3p F F
MCCB  50KA 3P 100A,1SDA067434R1,XT1S 160 TMD 100-1000 3p F F
MCCB  36KA 4P C100A,1SDA067424R1,XT1N 160 TMD 100-1000 4p F F
MCCB  36KA 4P B125A,1SDA067427R1,XT1N 160 TMD 125-1250 4p F F InN=100%
MCCB  36KA 4P 80A,1SDA067423R1,XT1N 160 TMD 80-800 4p F F
MCCB  36KA 4P 800A,1SDA100731R1,XT6N 800 TMA 800-8000 4p F F InN=100%In 
MCCB  36KA 4P 63A,1SDA067422R1,XT1N 160 TMD 63-630 4p F F
MCCB  36KA 4P 630A,1SDA100389R1,XT5N 630 TMA 630-6300 4p F F InN=100%In 
MCCB  36KA 4P 40A,1SDA067412R1,XT1N 160 TMD 40-450 3p F F
MCCB  36KA 4P 400A,1SDA100385R1,XT5N 400 TMA 400-4000 4p F F InN=100%In 
MCCB  36KA 4P 350A,1SDA100385R1,XT5N 400 TMA 400-4000 4p F F InN=100%In 
MCCB  36KA 4P 250A,1SDA068111R1,XT4N 250 TMA 250-2500 4p F F InN=100%
MCCB  36KA 4P 200A,1SDA068109R1,XT4N 250 TMA 200-2000 4p F F InN=100%
MCCB  36KA 4P 160A,1SDA067428R1,XT1N 160 TMD 160-1600 4p F F InN=100%
MCCB  36KA 4P 125A,1SDA067417R1,XT1N 160 TMD 125-1250 3p F F
MCCB  36KA 4P 100A,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  36KA 3P 80A,1SDA067415R1,XT1N 160 TMD 80-800 3p F F
MCCB  36KA 3P 63A,1SDA067414R1,XT1N 160 TMD 63-630 3p F F
MCCB  36KA 3P 630A,1SDA100347R1,XT5N 630 TMA 630-6300 3p F F
MCCB  36KA 3P 40A,1SDA067412R1,XT1N 160 TMD 40-450 3p F F
MCCB  36KA 3P 400A,1SDA100345R1,XT5N 400 TMA 400-4000 3p F F
MCCB  36KA 3P 350A,1SDA100345R1,XT5N 400 TMA 400-4000 3p F F
MCCB  36KA 3P 32A,1SDA067411R1,XT1N 160 TMD 32-450 3p F F
MCCB  36KA 3P 250A,1SDA068092R1,XT4N 250 TMA 250-2500 3p F F
MCCB  36KA 3P 20A,1SDA080828R1,XT1N 160 TMF 20-450 3p F F
MCCB  36KA 3P 200A,1SDA068090R1,XT4N 250 TMA 200-2000 3p F F
MCCB  36KA 3P 160A,1SDA067418R1,XT1N 160 TMD 160-1600 3p F F
MCCB  36KA 3P 125A,1SDA067417R1,XT1N 160 TMD 125-1250 3p F F
MCCB  36KA 3P 100A,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  36KA 2P 80A,1SDA067415R1,XT1N 160 TMD 80-800 3p F F
MCCB  36KA 2P 250A,1SDA068092R1,XT4N 250 TMA 250-2500 3p F F
MCCB  36KA 2P 100A,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  36KA 1P 80A,1SDA067415R1,XT1N 160 TMD 80-800 3p F F
MCCB  36KA 1P 63A,1SDA067414R1,XT1N 160 TMD 63-630 3p F F
MCCB  36KA 1P 40A,1SDA067412R1,XT1N 160 TMD 40-450 3p F F
MCCB  36KA 1P 32A,1SDA067411R1,XT1N 160 TMD 32-450 3p F F
MCCB  36KA 1P 100A,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  25KA 4P 160A,1SDA067400R1,XT1C 160 TMD 25-450 4p F F
MCCB  25KA 3P 80A,1SDA067396R1,XT1C 160 TMD 80-800 3p F F
MCCB  25KA 3P 63A,1SDA067395R1,XT1C 160 TMD 63-630 3p F F
MCCB  25KA 3P 40A,1SDA067393R1,XT1C 160 TMD 40-450 3p F F
MCCB  25KA 3P 350A   ,1SDA100345R1,XT5N 400 TMA 400-4000 3p F F
MCCB  25KA 3P 16A,1SDA080825R1,XT1C 160 TMD 16-450 3p F F
MCCB  25KA 3P 125A,1SDA067398R1,XT1C 160 TMD 125-1250 3p F F
MCB  10KA 3P 160A   ,1SDA066809R1,XT1B 160 TMD 160-1600 3p F F
MCCB.ACC HIGH TER COVER (125A AND BELOW),1SDA066185R1,HTC A1 4p TERMINAL COVERS HIGH 2pcs 
MCCB.ACC AUX SW (100A AND BELOW),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB SHUNT TRIP (125A),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB SHUNT TRIP,1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB extended rotary handle ,1SDA069055R1,RHE XT2-XT4 F/P STAND. RETURNED 
MCCB extended rotary handle,1SDA066479R1,RHE XT1-XT3 F/P STAND. RETURNED 
MCCB Auxiliary contact ,1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB Alarm contact ,1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB PADLOCK,1SDA066589R1,PLL XT1-XT3 PADLOCKS DEVICE OPEN
MCCB Auxiliary contact ,1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB Alarm contact ,1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCB 6KA 3P B40A,2CDS213001R0405,"SH203-B40 MiniCircuitBreaker B-Char.,6k"
MCB 6KA 1P B20A,2CDS211001R0205,"SH201-B20 MiniCircuitBreaker B-Char.,6k"
MCB 6KA 1P B10A,2CDS211001R0105,"SH201-B10 MiniCircuitBreaker B-Char.,6k"
MCB 10KA 4P C63A,2CDS274001R0634,S204M-C63 4Pole 63A C-curve MCB Icn 10kA Icu 15kA 
MCB 10KA 4P C40A,2CDS274001R0404,S204M-C40
MCB 10KA 4P C32A,2CDS274001R0324,S204M-C32 4Pole 32A C-curve MCB Icn 10kA Icu 15kA 
MCB 10KA 4P C20A,2CDS274001R0324,S204M-C32 4Pole 32A C-curve MCB Icn 10kA Icu 15kA 
MCB 10KA 3P C63A,2CDS273001R0634,S203M-C63
MCB 10KA 3P C40A,2CDS273001R0404,S203M-C40
MCB 10KA 3P C32A,2CDS273001R0324,S203M-C32
MCB 10KA 3P C20A,2CDS273001R0204,S203M-C20
MCB 10KA 3P B63A,2CDS273001R0634,S203M-C63
MCB 10KA 2P C63A,2CDS272001R0634,S202M-C63
MCB 10KA 2P C40A,2CDS272001R0404,"S202M-C40 2 Pole MCB, Type C, 40A, 10KA"
MCB 10KA 2P C32A,2CDS272001R0324,S202M-C32
MCB 10KA 2P C20A,2CDS272001R0204,S202M-C20
MCB 10KA 1P C6A,2CDS271001R0064,S201M-C6
MCB 10KA 1P C63A,2CDS271001R0634,S201M-C63
MCB 10KA 1P C40A,2CDS271001R0404,S201M-C40
MCB 10KA 1P C32A,2CDS271001R0324,S201M-C32
MCB 10KA 1P C20A,2CDS271001R0204,S201M-C20
MCB 10KA 1P C16A,2CDS271001R0164,S201M-C16
MCB 10KA 1P C10A,2CDS271001R0104,S201M-C10
MCB 10KA 1P B20A,2CDS271001R0205,S201M-B20
MCB  10KA 4P C80A,2TAZ190400R0804,SH804-C80
MCB  10KA 4P 100A,2TAZ190400R0824,SH804-C100
MCB ALARM AUXILIARY CONTACT,2CDS200946R0001,S2C-H6-11R Auxiliary contact 1NO/1NC Right Hand Side Mounting
"RCCB 4P, 63A 30MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF204005R1630,"F204 AC-63/0,0363A 4pole RCCB 30mA sensitivity"
"RCCB 4P, 63A 100MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF204005R1630,"F204 AC-63/0,0363A 4pole RCCB 30mA sensitivity"
"RCCB 4P, 40A 30MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF204005R3400,"F204 AC-40/0,340A 4pole RCCB 300mA sensitivity"
"RCCB 2P, 63A 30MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF202005R1630,"F202 AC-63/0,03 "
"RCCB 2P, 40A 30MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF202005R1400,"F202 AC-40/0,03 "
"RCCB 2P, 40A 100MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF202005R1400,"F202 AC-40/0,03 "
"RCCB 2P, 25A 30MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER ",2CSF202005R1250,"F202 AC-25/0,03 "
"RCCB  4P, 80A 100MA TRIP RESIDUAL CURRENT CIRCUIT BREAKER",2CSF204005R2800,"F204 AC-80/0,180A 4pole RCCB 100mA sensitivity"
ISOLATOR 4P 80A,2CDE284001R0080,E204/80R DinRail 4Pole Isolator 80A Red Toggle
ISOLATOR 4P 63A,2CDD284101R0063,SD204/63R
ISOLATOR 4P 40A,2CDD284101R0040,SD204/40R
ISOLATOR 4P 32A,2CDD284101R0040,SD204/40R
ISOLATOR 4P 100A,2CDE284001R0100,E204/100R
ISOLATOR 2P 80A,2CDE282001R0080,E202/80R DinRail 2Pole Isolator 80A Red Toggle
ISOLATOR 2P 63A,2CDD282101R0063,SD202/63R
ISOLATOR 2P 100A,2CDE282001R0100,E202/100R
ISOLATOR 1P 32A (BYPASS SWITCH),2CDD281101R0032,SD201/32R
"CONTACTOR (AC-1) 3P 415V 25A, 4 kW",1SBL137001R1410,Contactor AF09-30-10-14 250-500V AC/DC
SURGE ARRESTER G NU6-II 40KA 4P,2CTB803972R0500,OVR T2 1N 40-275 P TS QS Imax 40kA SinglePhase 1Live1Neutral 1PE connection with EOL alarm contact
ACB 5000A 4P 100KA  LSIG (3s),1SDA073336R1,E6.2H/f 5000 Ekip Touch LSIG 4p WMP 
ACB 3200A 4P 66KA  LSIG (3s),1SDA073136R1,E4.2S 3200 Ekip Touch LSIG 4p WMP 
ACB 3200A 4P 50KA  LSIG (3s),1SDA073126R1,E4.2N 3200 Ekip Touch LSIG 4p WMP 
ACB 2200A 4P 50KA  LSIG (3s),1SDA073046R1,E2.2N 2500 Ekip Touch LSIG 4p WMP 
ACB 2200A 3P 50KA  LSIG (3s),1SDA072416R1,E2.2N 2500 Ekip Touch LSIG 3p WMP 
ACB 1600A 4P 50KA  LSIG (3s),1SDA072976R1,E2.2N 1600 Ekip Touch LSIG 4p WMP 
ACB 1600A 3P 50KA  LSIG (3s),1SDA072346R1,E2.2N 1600 Ekip Touch LSIG 3p WMP 
ACB 1250A 4P 50KA  LSIG (3s),1SDA072936R1,E2.2N 1250 Ekip Touch LSIG 4p WMP 
ACB 1000A 4P 50KA  LSIG (3s),1SDA072906R1,E2.2N 1000 Ekip Touch LSIG 4p WMP 
ACB 1000A 3P 50KA  LSIG (3s),1SDA072276R1,E2.2N 1000 Ekip Touch LSIG 3p WMP 
ACB.ACC SHUNT TRIP COIL (SHT),1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC 
ACB.ACC PADLOCKS IN OPEN POSITION (PLC),1SDA073805R1,PLC E2.2..E6.2 Padlocks in open D=8mm 
ACB.ACC CURRENT SENSOR FOR NEUTRAL CONDUCTOR OUTSIDE THE CIRCUIT-BREAKER 2000A,1SDA073736R1,EXT CS N E1.2-E2.2-XT7-XT7M 2000A 
ACB.ACC CURRENT SENSOR FOR NEUTRAL CONDUCTOR OUTSIDE THE CIRCUIT-BREAKER 2500A,1SDA073737R1,EXT CS N E2.2 2500A 
ACB.ACC CLOSING COIL (SHT),1SDA073687R1,YC E1.2..E6.2-XT7M 220-240 VAC/DC 
ACB.ACC CASTELL KEY LOCK,1SDA073797R1,KLC-A Key lock open Castell E2.2...E6.2 
MCCB 400A 3P 36KA Ekip Dip LS/I ,1SDA100354R1,XT5N 400 Ekip Dip LS/I In=400 3p F F
MCCB 300A 4P 36KA Ekip Dip LS/I ,1SDA100396R1,XT5N 400 Ekip Dip LS/I In=400 4p F F
MCCB 300A 3P 36KA Ekip Dip LS/I ,1SDA100353R1,XT5N 400 Ekip Dip LS/I In=320 3p F F
MCCB 250A 4P 36KA Ekip Dip LS/I ,1SDA068147R1,XT4N 250 Ekip LS/I In=250A 4p F F 
MCCB 250A 3P 36KA Ekip Dip LS/I ,1SDA068126R1,XT4N 250 Ekip LS/I In=250A 3p F F 
MCCB  80A  4P  36KA,1SDA067423R1,XT1N 160 TMD 80-800 4p F F
MCCB  80A  3P  36KA,1SDA100718R1,XT6N 800 TMA 800-8000 3p F F
MCCB  80A  3P  25KA,1SDA067396R1,XT1C 160 TMD 80-800 3p F F
MCCB  80A  3P  18KA,1SDA066806R1,XT1B 160 TMD 80-800 3p F F
MCCB  800A  4P  36KA Ekip Dip LSIG,1SDA100736R1,XT6N 800 Ekip Dip LSIG In=800 4p F F
MCCB  800A  3P  36KA Ekip Dip LSIG,1SDA100723R1,XT6N 800 Ekip Dip LSIG In=800 3p F F
MCCB  63A  4P  36KA,1SDA067422R1,XT1N 160 TMD 63-630 4p F F
MCCB  63A  3P  36KA,1SDA067414R1,XT1N 160 TMD 63-630 3p F F
MCCB  63A  3P  25KA,1SDA067395R1,XT1C 160 TMD 63-630 3p F F
MCCB  630A  4P  36KA Ekip Dip LS/I,1SDA100389R1,XT5N 630 TMA 630-6300 4p F F InN=100%In 
MCCB  630A  3P  36KA Ekip Dip LS/I,1SDA100347R1,XT5N 630 TMA 630-6300 3p F F
MCCB  500A  4P  36KA Ekip Dip LS/I,1SDA100387R1,XT5N 630 TMA 500-5000 4p F F InN=100%In 
MCCB  500A  3P  36KA Ekip Dip LS/I,1SDA100346R1,XT5N 630 TMA 500-5000 3p F F
MCCB  40A  3P  36KA,1SDA067412R1,XT1N 160 TMD 40-450 3p F F
MCCB  32A  4P  36KA,1SDA067419R1,XT1N 160 TMD 32-450 4p F F
MCCB  32A  3P  36KA,1SDA067411R1,XT1N 160 TMD 32-450 3p F F
MCCB  32A  3P  25KA,1SDA067392R1,XT1C 160 TMD 32-450 3p F F
MCCB  25A  3P  36KA,1SDA080829R1,XT1N 160 TMD 25-450 3p F F
MCCB  25A  3P  25KA,1SDA067391R1,XT1C 160 TMD 25-450 3p F F
MCCB  200A  4P  36KA,1SDA068069R1,XT3N 250 TMD 200-2000 4p F F InN=100%
MCCB  200A  3P  36KA,1SDA068058R1,XT3N 250 TMD 200-2000 3p F F
MCCB  160A  4P  36KA,1SDA067428R1,XT1N 160 TMD 160-1600 4p F F InN=100%
MCCB  160A  3P  36KA,1SDA067418R1,XT1N 160 TMD 160-1600 3p F F
MCCB  1600A  4P  50KA Ekip Dip LSIG,1SDA101125R1,XT7S 1600 Ekip Dip LSIG In=1600A 4p F F 
MCCB  1600A  3P  50KA Ekip Dip LSIG,1SDA100837R1,XT7S 1600 Ekip Dip LSIG In=1600A 3p F F 
MCCB  150A  4P  36KA,1SDA067428R1,XT1N 160 TMD 160-1600 4p F F InN=100%
MCCB  150A  3P  36KA,1SDA067417R1,XT1N 160 TMD 125-1250 3p F F
MCCB  125A  3P  36KA,1SDA067417R1,XT1N 160 TMD 125-1250 3p F F
MCCB  1250A  4P  50KA Ekip Dip LSIG,1SDA101124R1,XT7S 1250 Ekip Dip LSIG In=1250A 4p F F 
MCCB  100A  4P  36KA,1SDA067424R1,XT1N 160 TMD 100-1000 4p F F
MCCB  100A  3P  36KA (SA),1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  100A  3P  36KA (FOR SA),1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  100A  3P  36KA,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  1000A  4P  50KA Ekip Dip LSIG,1SDA101123R1,XT7S 1000 Ekip Dip LSIG In=1000A 4p F F 
MCCB.ACC WITHDRAWABLE FOR 3P (40A),1SDA068183R1,XT1 P FP 3p EF
MCCB.ACC WITHDRAWABLE FOR 3P (200A),1SDA068187R1,XT2 P FP 3p EF
MCCB.ACC WITHDRAWABLE FOR 3P (100A),1SDA068183R1,XT1 P FP 3p EF
MCCB.ACC SHUNT TRIP (800A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC SHUNT TRIP (630A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC SHUNT TRIP (320A ~ 400A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC SHUNT TRIP (160A ~ 250A),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC SHUNT TRIP (1600A),1SDA073675R1,YO E1.2..E6.2-XT7-XT7M 240-250 VAC/DC 
MCCB.ACC SHUNT TRIP (1250A),1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC 
MCCB.ACC SHUNT TRIP (100A AND BELOW),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC SHUNT TRIP (1000A),1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC 
MCCB.ACC EX-ROT HANDLE (630A ~ 1000A),1SDA104853R1,RHE XT6 F/P STAND. RETURNED 
MCCB.ACC EX-ROT HANDLE (320A  ~ 630A),1SDA104843R1,RHE XT5 F/P STAND. RETURNED 
MCCB.ACC EX-ROT HANDLE (125A ~ 250A),1SDA066479R1,RHE XT1-XT3 F/P STAND. RETURNED 
MCCB.ACC EX-ROT HANDLE (100A AND BELOW),1SDA066479R1,RHE XT1-XT3 F/P STAND. RETURNED 
MCCB.ACC EX-ROT HANDLE (1000A ~ 1600A),1SDA104863R1,RHE XT7 F/W STAND. RETURNED 
MCCB.ACC AUX SW (320A ~ 800A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC AUX SW (1600A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
